Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,seed
0,7,8,6.63385889398437e-05,2.5464052304566236e-06,2.4826076742501016e-06,1677382069
0,7,9,7.992994520377643e-05,2.2966483839335197e-06,1.636054865628457e-06,1636697802
0,7,10,6.682495850010423e-05,2.0251736022805016e-06,1.4745037140110616e-06,330289425
0,7,11,8.908483636589904e-05,1.7626300630016466e-06,1.3049113131372567e-06,125695560
0,7,12,7.64333786662421e-05,2.3523249914719943e-06,2.9609857945525836e-06,1041442317
0,8,9,0.000147948337212387,2.2520244762810994e-06,2.2263407730415548e-06,1962271338
0,8,10,0.00023120560675845048,2.0984760597536336e-06,1.922191269706017e-06,559135774
0,8,11,0.0001691666855026562,1.9638018068714103e-06,1.6020158924669474e-06,755146769
0,8,12,0.00016718732293913996,2.20370100751515e-06,2.011489650741082e-06,351509557
0,9,10,0.0004447490966521905,3.030168172704974e-06,3.0612990234919277e-06,508106820
0,9,11,0.00032821308436851033,1.7925555232789581e-06,1.9562765965487054e-06,87785394
0,9,12,0.00032192627870981775,1.3395057091368192e-06,1.2552914600610885e-06,1558839784
0,10,11,0.00039544852802988887,2.3798691918817728e-06,2.3306688752265964e-06,902057307
0,10,12,0.00041444641105736844,2.224103218644036e-06,1.7392158222016275e-06,321550811
0,11,12,0.0004548162271662394,2.4982266868908103e-06,2.2783223147754728e-06,191920083
0,-3,-2,0.0001203748911048566,4.690118818592075e-06,1.1001273670775447e-05,1396271797
0,-3,-1,6.688387027594502e-05,4.32973713178491e-06,2.799691960322957e-05,1155840846
0,-3,1,2.774009361650754e-05,2.9634142427085025e-06,1.7040929641394077e-05,1443675136
0,-3,2,3.219740505926955e-05,3.064221393259012e-06,1.0872211348725488e-05,1076727821
0,-3,4,1.269894302583281e-05,1.9508490596077197e-06,2.2716950877516908e-06,323818681
0,-3,5,2.90454129448333e-05,1.6476621689830318e-06,1.9083822214072606e-06,1227912652
0,-3,6,2.845825267141977e-05,4.189783957606169e-06,1.0584894297144873e-06,48965994
0,-3,7,3.33350098954339e-05,3.1602990040085294e-06,2.0428186094204284e-06,1513525379
0,-3,8,8.832585025450697e-05,5.654761906022596e-06,1.3021721848519607e-06,207964742
0,-3,9,0.00021611349288166645,1.2434201856178138e-05,1.9135939772118762e-06,2040137347
0,-3,10,0.00015195686924867642,1.0856411597753236e-05,2.991474239722443e-06,1533830356
0,-3,11,0.0001683230674879264,1.2241377894656282e-05,6.483950691295638e-06,1652932303
0,-3,12,0.00017575696136572916,1.5097663239294875e-05,2.9559850557814072e-06,711647626
0,-2,-1,0.0001612344227140149,2.1579185131674898e-05,8.06558273066876e-05,1544074455
0,-2,1,4.128600838354896e-05,4.368465935411413e-06,2.7716399547947774e-05,48918006
0,-2,2,1.668477165086602e-05,2.041864516163704e-06,6.695019383447046e-06,424595951
0,-2,4,2.036555367916092e-05,2.5159739050516205e-06,1.6434901173964966e-06,463503292
0,-2,5,2.34917920291486e-05,9.133276148875863e-06,1.8786355669404786e-06,1523835523
0,-2,6,2.8867381086781245e-05,3.7715566381603e-06,4.186216991357046e-06,1722338153
0,-2,7,4.3100509646850943e-05,5.955950822351798e-06,8.596941674605365e-06,1461105840
0,-2,8,6.757176961912314e-05,1.101648273203242e-05,1.2141940435199633e-06,1266494644
0,-2,9,0.00012997185191036172,1.3182743210804424e-05,6.916268067741962e-06,764852011
0,-2,10,0.0002998836781131227,2.596245869502215e-05,4.324576663112084e-06,1337714724
0,-2,11,0.0001781661220276984,2.2642157353009262e-05,1.99856110075267e-06,1020888837
0,-2,12,0.00013862991974501559,1.930205313876407e-05,1.5084410836101332e-06,602489671
0,-1,1,4.842365519446053e-05,1.839301743583691e-05,2.9485411893244636e-05,192682022
0,-1,2,0.00018638226868199404,7.40361418458806e-05,5.896002434251207e-05,535923926
0,-1,4,1.4909565768322063e-05,7.699954335831679e-06,4.718068739573773e-06,23327838
0,-1,5,2.3739419480750843e-05,1.1917974357945126e-05,6.287462398488739e-07,624949986
0,-1,6,2.6266016387543302e-05,1.5853313258039655e-05,1.4479069392017588e-06,1615991978
0,-1,7,3.846822480363871e-05,1.770665133516528e-05,9.856080549168898e-07,301574996
0,-1,8,7.269387182492558e-05,3.0386359717320204e-05,1.652844066078268e-06,398596191
0,-1,9,0.0003235803260509503,0.0001424051919915416,2.2046263237024786e-06,279656050
0,-1,10,0.0001586156531765947,6.107901023243937e-05,1.8440806988126044e-06,558096109
0,-1,11,9.489646038415157e-05,3.8817947725169424e-05,3.2619543223299964e-06,1346096759
0,-1,12,9.01234603740187e-05,3.772289669601791e-05,5.0019173898987805e-06,612463692
0,1,2,0.00010354297263314226,5.7168790943776544e-05,3.2906924404936034e-05,932290337
0,1,4,1.7713596112738115e-05,1.1564211716426188e-05,1.6282602680005525e-06,1863334202
0,1,5,1.994279213820319e-05,1.2155854148097323e-05,1.2026085714126099e-06,115751014
0,1,6,2.0071315812533586e-05,1.2124421092310121e-05,2.798271037321305e-06,1917186986
0,1,7,4.092959498486773e-05,2.3392583039121938e-05,2.805300035122988e-06,1834416534
0,1,8,0.00010803238537526849,6.0718145597745615e-05,1.944873797033027e-06,439360768
0,1,9,7.351682552494794e-05,4.5294483996479115e-05,2.268128221967921e-06,2072881914
0,1,10,4.621438184997208e-05,2.6895424443504536e-05,1.657454997644011e-06,1665443511
0,1,11,8.616592860861105e-05,6.203923178715744e-05,2.0713304033400315e-06,603234530
0,1,12,3.998276206272413e-05,2.5461187747302282e-05,2.3329632383590782e-06,1559880595
0,2,4,7.637777319144307e-05,4.23492886540944e-05,1.9671801604223072e-05,1066919733
0,2,5,1.777510572748281e-05,5.32028301269077e-06,1.8975368157022611e-06,877656260
0,2,6,4.6160206688268265e-05,1.7397406668315193e-05,2.398915137656335e-06,1240560062
0,2,7,2.6351668394951022e-05,7.575173428373029e-06,1.5004982590291138e-06,1188696882
0,2,8,4.548854831148955e-05,1.7059024677092625e-05,1.3382632255938576e-06,989545924
0,2,9,3.859240102293828e-05,1.5357439662686445e-05,2.1155944782325218e-06,1058863523
0,2,10,4.879598174608608e-05,1.876484072233199e-05,2.4711786944281133e-05,1484419479
0,2,11,0.00023591400327509517,8.918765545014219e-05,5.455746280856124e-06,745640701
0,2,12,2.5601096707446793e-05,1.2692831314639861e-05,1.189573813051722e-06,241335817
0,4,5,2.4126740996214325e-05,1.7217515366070396e-06,2.269739214576485e-06,2004073392
0,4,6,1.905850004507907e-05,4.3954223663932345e-06,2.835299157628248e-06,244223472
0,4,7,1.1743305046778079e-05,8.411119980536895e-07,6.813480335370571e-07,1962854165
0,4,8,2.4588694716631074e-05,1.0573038615343803e-06,1.4013353729366448e-06,1660969369
0,4,9,1.3812499915452461e-05,1.352855981565332e-06,1.2481745689209417e-06,420793782
0,4,10,2.0780883956291886e-05,2.4229579978642696e-06,3.4050636167823785e-06,1350410502
0,4,11,3.408854474479042e-05,1.117138717366073e-06,1.3677341154112396e-06,993429157
0,4,12,1.5189901890805732e-05,1.2368104866274145e-06,8.459973938607604e-07,259381094
0,5,6,1.4021749250736393e-05,7.83138039502741e-07,8.434696137195952e-07,1461943418
0,5,7,9.520532651103361e-06,2.500894454081804e-06,2.3965481481383192e-06,1090983540
0,5,8,9.961011037186208e-06,3.570322297609946e-06,6.20687634550483e-06,395375802
0,5,9,1.4857533259313458e-05,4.634275387340573e-06,2.990231590856124e-06,1868148007
0,5,10,1.9711496308434574e-05,1.1406201815337353e-06,1.0502414594346965e-06,1990708843
0,5,11,2.1718811681911965e-05,8.242922641838484e-06,2.745945523145043e-05,147080926
0,5,12,2.272817944850655e-05,1.3624154380180763e-06,9.068697304354948e-07,37361459
0,6,7,3.341259101851695e-05,5.897011146727103e-06,6.294952275494175e-06,801204510
0,6,8,2.767258600977931e-05,2.8971838975317175e-05,2.4006436034026994e-05,379933561
0,6,9,1.838092380577261e-05,1.2452160609948008e-06,1.2176632458603004e-06,1885211202
0,6,10,2.0279951336449698e-05,1.2311317411561353e-06,1.1200226250699157e-06,120410355
0,6,11,2.4652178332437146e-05,1.5958921000431874e-06,1.6291185360097276e-06,2051795864
0,6,12,2.5949095353753175e-05,1.696244099362882e-06,1.383095306409922e-06,2113802679
0,7,8,6.932429911908383e-05,1.8726129295856484e-06,1.6727633340447982e-06,2050349329
0,7,9,6.777719371629043e-05,5.790877112265946e-06,5.641653177140509e-06,1696666413
0,7,10,8.099529411349595e-05,1.2315606620991959e-05,7.206383984635015e-06,1026293759
0,7,11,8.912286382173144e-05,2.1848262588686695e-06,2.2004009606851474e-06,1441375717
0,7,12,8.164332883135255e-05,1.6292521026992834e-06,2.6831312152751574e-06,1856931929
0,8,9,0.0001406510724113162,4.115635145273578e-06,3.6025638009028812e-06,1311900077
0,8,10,0.00016711004567668644,3.353916159338275e-06,4.122516617563955e-06,587186979
0,8,11,0.00015483945157483453,1.4615049257500956e-06,1.382939190699372e-06,1092420624
0,8,12,0.00016011466909340017,2.3176209301851847e-06,1.6492979427871183e-06,738424332
0,9,10,0.00027872714179678204,2.4983055883922066e-06,2.6230761429591314e-06,1344610134
0,9,11,0.0002826481723360745,3.296948169594665e-06,3.05805342572827e-06,13118930
0,9,12,0.00034817171828942694,4.022041917660398e-06,3.310161068179999e-06,575683181
0,10,11,0.0004195019188996777,2.3381864500684374e-06,1.994417483775633e-06,239886316
0,10,12,0.0004590764710949547,6.496102838939335e-06,5.90291653362668e-06,173536323
0,11,12,0.0004586922770010912,3.14451381930717e-06,2.810866614670071e-06,1278470364
0,-3,-2,4.5634874868247214e-05,2.6150008730057455e-06,4.151930725587492e-06,1274719455
0,-3,-1,5.9976610212091925e-05,3.541995854014749e-06,2.446460948550003e-05,1837015828
0,-3,1,3.7955575116243574e-05,3.021835654238477e-06,2.268158105032283e-05,475830410
0,-3,2,2.185576000816133e-05,2.512980376939721e-06,1.0293383618195913e-05,1660418824
0,-3,4,2.365239813872182e-05,5.194613935545905e-06,2.1861112919801193e-06,1342779865
0,-3,5,1.9846493687840682e-05,3.8108322641220864e-06,1.3355290071519158e-06,1984813768
0,-3,6,2.00463650511295e-05,2.486601056910641e-06,1.340451093449308e-06,1962710430
0,-3,7,3.722211282361121e-05,3.0383082954841068e-06,3.135855867793083e-06,337708940
0,-3,8,5.712012235064161e-05,4.663631625148021e-06,1.5952351956466534e-06,682642421
0,-3,9,8.387377655120533e-05,7.3086714303007305e-06,3.4967272485059113e-06,489285266
0,-3,10,0.0001619542074245309,1.2272021492091014e-05,3.04297533543955e-06,1092027741
0,-3,11,0.00016517724162788775,1.2636847888823094e-05,3.1830444129901756e-06,1582324599
0,-3,12,0.0004421384233715477,2.2446656565112887e-05,2.342190582475365e-06,606025308
0,-2,-1,0.0004847832422556829,4.0783085847707414e-05,0.00019407669948953653,1549402668
0,-2,1,0.00021325847399161866,2.6905457255960815e-05,9.646041822242881e-05,859524341
0,-2,2,2.3156689736009877e-05,2.8821847607673325e-06,1.0414739745799295e-05,1632166969
0,-2,4,2.789133183094018e-05,2.8183003897899156e-06,6.999160057315933e-06,676993407
0,-2,5,3.371176072618517e-05,7.309271070895917e-06,4.522918079731471e-06,1179149056
