Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,seed
0,7,9,6.1010559663083794e-05,1.7237675890433926e-06,1.777481785768813e-06,1601301447
0,7,10,8.24542075542978e-05,8.188705760409881e-07,1.0276505527952078e-06,767185659
0,8,9,0.00014010984825533375,2.6930676713762595e-06,2.78439817601413e-06,24431952
0,8,10,0.00015834771321133497,2.0349199914680873e-06,1.671678105045619e-06,139902978
0,9,10,0.0002792699788813048,2.0877744632628444e-06,2.101573728903365e-06,1084162937
0,-2,-1,0.00035768120596738095,2.7706694016081673e-05,0.00014761556119356886,630035049
0,-2,1,2.3436911687300574e-05,2.531742637054462e-06,1.4740515324487206e-05,1269860830
0,-2,2,3.830042757162001e-05,5.18343514736825e-06,1.4993315852349479e-05,610166163
0,-2,4,2.800766045488996e-05,4.953881089437953e-06,6.772680797452759e-06,65519586
0,-2,5,2.398649563231004e-05,3.53266960057347e-06,1.8733204448004063e-06,349562943
0,-2,6,2.8808483977431268e-05,3.4296255779328603e-06,1.4526298995584243e-06,424529077
0,-2,7,5.3355233159036715e-05,6.4699486625744495e-06,1.2999714296105927e-05,2058105115
0,-2,8,5.928247536633088e-05,6.598208005684461e-06,2.1667305155044185e-06,445837112
0,-2,9,7.975262192426814e-05,9.534896144880718e-06,1.1905585161286346e-06,1659657454
0,-2,10,9.24839888540625e-05,1.1807574134095118e-05,2.506170329720171e-06,451605873
0,-1,1,0.0004720191492789706,0.00020084645774623368,0.00026684980634003705,1891782558
0,-1,2,6.817783574346373e-05,3.210294577804518e-05,3.610961491761155e-05,1640434608
0,-1,4,2.3239967908718658e-05,1.1048254442343024e-05,1.2738861108267372e-06,1738419503
0,-1,5,2.7020426780447905e-05,1.1072428378854453e-05,1.9427611521703794e-05,156663463
0,-1,6,2.3253643180507242e-05,1.2313118905855747e-05,1.6604990387495694e-06,1899466605
0,-1,7,9.177877150032553e-05,4.6268112004052054e-05,4.653333224849033e-06,1676804902
0,-1,8,7.506779601957844e-05,3.0288895849890074e-05,1.320929674608037e-06,129378476
0,-1,9,0.0003738328156348039,0.00012156189228488099,2.1141527711878777e-06,2065539346
0,-1,10,0.00021261916064276582,9.03206332735454e-05,1.4772859924745915e-06,1185433792
0,1,2,2.5830627491863952e-05,1.511593551708091e-05,9.425124073069754e-06,257448888
0,1,4,9.060723939335061e-05,6.539256061445126e-05,3.190553185231915e-06,218864546
0,1,5,1.7799908063109054e-05,1.177655268441754e-05,1.3526327326423831e-06,1677382069
0,1,6,4.0860671573873754e-05,2.0608665684860946e-05,8.964044023015993e-07,1636697802
0,1,7,4.02156137622862e-05,2.278832710255515e-05,1.6326376401846142e-06,330289425
0,1,8,0.0001661124502157321,8.503942099103801e-05,1.185666105055364e-06,125695560
0,1,9,0.00010002947054185778,5.74840197909288e-05,2.779909584641662e-06,1041442317
0,1,10,9.882658874152697e-05,5.25926266727574e-05,1.5591429007200977e-06,1962271338
0,2,4,1.9914617453294975e-05,8.696782909980912e-06,3.7530649300171365e-06,559135774
0,2,5,1.6587486488615037e-05,6.3105739348387234e-06,1.2467683237065371e-06,755146769
0,2,6,1.9696912784554622e-05,6.3547371964577435e-06,4.798197090148544e-06,351509557
0,2,7,4.7863174021616255e-05,2.4252224493301086e-05,2.4425628299931888e-06,508106820
0,2,8,0.0001137889676521315,6.275979328225111e-05,2.095373677938969e-06,87785394
0,2,9,7.629758670346877e-05,3.894930133676663e-05,1.6735036525360406e-06,1558839784
0,2,10,4.099558833559169e-05,1.3380632908806023e-05,1.4666297156906158e-06,902057307
0,4,5,1.8047231709360454e-05,4.568946598178467e-06,3.7188057273683518e-06,321550811
0,4,6,1.3615678014969561e-05,3.091327427056594e-06,2.8041065665146783e-06,191920083
0,4,7,3.636730381558101e-05,9.596636875798654e-06,2.889472843362187e-06,1396271797
0,4,8,1.370664414909929e-05,1.1254312073457473e-06,9.156908713486616e-07,1155840846
0,4,9,1.7031858908137495e-05,1.911283747839046e-06,2.0906611664201572e-06,1443675136
0,4,10,2.177081870019601e-05,5.195096359720536e-06,1.3312234278444995e-06,1076727821
0,5,6,2.0780871615241016e-05,3.04231033371812e-06,2.2083245417425473e-06,323818681
0,5,7,1.0375063733250031e-05,1.2603562817308018e-06,1.4901701326281736e-06,1227912652
0,5,8,1.027839899680826e-05,9.606940164976122e-07,7.654433326884168e-07,48965994
0,5,9,2.1884461338784563e-05,3.6546626948151412e-06,1.8446882752794038e-06,1513525379
0,5,10,1.4981442585429022e-05,8.379954063513109e-07,9.67846711333308e-07,207964742
0,6,7,1.701549507108295e-05,1.212965189560112e-06,1.1412110283490214e-06,2040137347
0,6,8,1.8397236288641072e-05,1.974109907859918e-06,1.7358168419932424e-06,1533830356
0,6,9,2.5005867172675873e-05,1.3993848983955057e-06,1.1972897994865718e-06,1652932303
0,6,10,1.8325071275061406e-05,2.6237662016537454e-06,2.2245425808446095e-06,711647626
0,7,8,6.04719754085991e-05,1.2074746254850755e-06,1.756451527286863e-06,1544074455
0,7,9,7.392039066777799e-05,3.1168484657889797e-06,2.229194815903964e-06,48918006
0,7,10,7.801102870622313e-05,2.8889063394495274e-06,2.130111776278126e-06,424595951
0,8,9,0.00014137323130611231,2.9468598479791407e-06,2.5934168213352645e-06,463503292
0,8,10,0.00015079457727884633,3.2525832246728878e-06,3.362238428928729e-06,1523835523
0,9,10,0.0002670251973080535,2.1068486968251883e-06,2.4615726007653286e-06,1722338153
0,-2,-1,0.00014500301593443367,1.5246108695511775e-05,5.486965449020341e-05,1461105840
0,-2,1,8.432060913272055e-05,9.09912969557883e-06,5.072769731888179e-05,1266494644
0,-2,2,3.060470014946119e-05,4.56274566195909e-06,1.1782625396392974e-05,764852011
0,-2,4,1.5175270336542597e-05,2.3713956035642664e-06,1.8653520039756877e-06,1337714724
0,-2,5,2.0673093776618937e-05,3.05140058190436e-06,2.0923477231737733e-06,1020888837
0,-2,6,2.7533757383288852e-05,4.186370540468016e-06,2.4584759836456907e-06,602489671
0,-2,7,8.505902570755315e-05,8.692499331415235e-06,6.108564031476882e-06,192682022
0,-2,8,5.8927277879282674e-05,6.470620326485372e-06,1.2686845601012233e-06,535923926
0,-2,9,7.63760856331128e-05,8.57914614104375e-06,4.721811242355387e-06,23327838
0,-2,10,0.00022463931188117337,3.47770415930911e-05,2.5462762474245266e-06,624949986
0,-1,1,0.00011979960171342026,4.722658925059487e-05,6.883781185288348e-05,1615991978
0,-1,2,0.00011272325090919403,3.755970802795708e-05,4.325407939774623e-05,301574996
0,-1,4,1.7407923641915496e-05,7.2023221455554595e-06,4.377564987854356e-06,398596191
0,-1,5,3.748622649398463e-05,2.2504920309299414e-05,1.7395570052548358e-06,279656050
0,-1,6,2.2091803878164287e-05,1.1725180977002336e-05,8.301482537143347e-07,558096109
0,-1,7,2.805486954007162e-05,1.2526842190818002e-05,1.3764277413501577e-06,1346096759
0,-1,8,7.263502579039532e-05,3.0030285146123885e-05,4.47945680380351e-06,612463692
0,-1,9,0.00021524123939260445,8.650080765575113e-05,3.277511756105025e-06,932290337
0,-1,10,9.832301315572259e-05,4.077930680732933e-05,1.4468467150251253e-06,1863334202
0,1,2,3.283956260520425e-05,2.2259186953956248e-05,1.3849229019021653e-05,115751014
0,1,4,1.9996936103611984e-05,1.2091064221928648e-05,4.038213568163194e-06,1917186986
0,1,5,1.5801199843731244e-05,9.814349361423859e-06,2.308021237100048e-06,1834416534
0,1,6,4.3011941557907507e-05,2.080025416357871e-05,1.1753765724342136e-06,439360768
0,1,7,8.15797621843403e-05,4.2989564870455286e-05,1.3731156990747792e-06,2072881914
0,1,8,6.064566434760046e-05,3.562585670881256e-05,1.2400307125278182e-06,1665443511
0,1,9,4.3764791263557446e-05,2.737299388308669e-05,2.2598796784426246e-06,603234530
0,1,10,8.904148855245712e-05,4.8393465718530955e-05,3.861204754180033e-06,1559880595
0,2,4,7.637777319144307e-05,4.23492886540944e-05,1.9671801604223072e-05,1066919733
0,2,5,1.777510572748281e-05,5.32028301269077e-06,1.8975368157022611e-06,877656260
0,2,6,4.6160206688268265e-05,1.7397406668315193e-05,2.398915137656335e-06,1240560062
0,2,7,2.6351668394951022e-05,7.575173428373029e-06,1.5004982590291138e-06,1188696882
0,2,8,4.548854831148955e-05,1.7059024677092625e-05,1.3382632255938576e-06,989545924
