Moment 1,Moment 2,Moment 3,Value 1,Value 2,Value 3,init_lr,weight_decay,layers,layer_width,activation,epochs
0,5,8,3.264102752593937e-05,3.7461069775430614e-06,2.3492894248891058e-06,0.0001,1e-06,3,150,ReLU,200
0,5,8,9.067947302491992e-05,3.6692471852654478e-06,2.5767613023982063e-06,0.0001,1e-06,3,150,Tanh,200
0,5,8,7.158467797539399e-05,1.2647868278048611e-05,6.156859839764307e-06,0.0001,1e-06,5,25,ReLU,200
0,5,8,7.776645975524413e-05,6.447224047129657e-06,3.50518174981636e-06,0.0001,1e-06,5,25,Tanh,200
0,5,8,4.8630723539857335e-05,3.900274441929146e-06,2.3173190184053133e-06,0.0001,1e-06,5,50,ReLU,200
0,5,8,5.0257767631075204e-05,4.0303007486051e-06,2.6729255763378724e-06,0.0001,1e-06,5,50,Tanh,200
0,5,8,4.315855023155413e-05,3.095544916937535e-06,2.418788699160192e-06,0.0001,1e-06,5,100,ReLU,200
0,5,8,7.467578212309245e-05,2.613818209818155e-06,5.378836966825067e-06,0.0001,1e-06,5,100,Tanh,200
0,5,8,3.283810696775857e-05,8.554089499483489e-06,9.025335733126015e-06,0.0001,1e-06,5,150,ReLU,200
0,5,8,5.325291699625071e-05,2.720574524093825e-06,2.0006173819715203e-06,0.0001,1e-06,5,150,Tanh,200
0,5,8,9.67457734163389e-05,1.342379272997185e-05,7.984496748724386e-06,0.0001,1e-06,10,25,ReLU,200
0,5,8,0.00011641069389174717,1.1441734970126744e-05,7.66497052885635e-06,0.0001,1e-06,10,25,Tanh,200
0,5,8,3.943228629058152e-05,5.207728430623907e-06,3.874351778437081e-06,0.0001,1e-06,10,50,ReLU,200
0,5,8,5.0952617765855956e-05,4.970063812135883e-06,2.9931514958292456e-06,0.0001,1e-06,10,50,Tanh,200
0,5,8,3.248033783856962e-05,4.733040726830729e-06,5.480816310894637e-06,0.0001,1e-06,10,100,ReLU,200
0,5,8,4.942899887787145e-05,2.048579420642733e-06,4.2484196327427995e-06,0.0001,1e-06,10,100,Tanh,200
0,5,8,3.2181553064856976e-05,1.609651462429027e-05,1.4620473445428512e-05,0.0001,1e-06,10,150,ReLU,200
0,5,8,6.738716426810682e-05,2.5037360259611488e-05,7.97946999600114e-05,0.0001,1e-06,10,150,Tanh,200
0,5,8,3.873341246879462e-05,3.1910002888859526e-06,7.952488566393201e-06,0.001,1e-08,2,25,ReLU,200
0,5,8,9.16401112517761e-05,6.816522817873544e-06,8.080079870334876e-06,0.001,1e-08,2,25,Tanh,200
0,5,8,5.9514698741569996e-05,9.471658425251097e-06,7.025333444842804e-06,0.001,1e-08,2,50,ReLU,200
0,5,8,6.73459841921055e-05,8.131827840433101e-06,3.639008334724811e-06,0.001,1e-08,2,50,Tanh,200
0,5,8,5.403054176997842e-05,9.344035799707214e-06,7.574806520333509e-06,0.001,1e-08,2,100,ReLU,200
0,5,8,7.410569200836524e-05,3.127587638988153e-05,4.615533626334216e-05,0.001,1e-08,2,100,Tanh,200
0,5,8,5.124714186807806e-05,6.33967826041702e-06,3.2626607709044774e-06,0.001,1e-08,2,150,ReLU,200
0,5,8,5.343932763700048e-05,5.824818401121022e-06,4.61357973356577e-06,0.001,1e-08,2,150,Tanh,200
0,5,8,4.650762796063528e-05,1.4348686090404593e-05,6.904372135014005e-06,0.001,1e-08,3,25,ReLU,200
0,5,8,5.9452493608428294e-05,2.731181469811693e-06,3.47522417478907e-06,0.001,1e-08,3,25,Tanh,200
0,5,8,3.5439090469718736e-05,4.7684775081368775e-06,3.4679262749694738e-06,0.001,1e-08,3,50,ReLU,200
0,5,8,0.00024937508315182123,3.4170703761441857e-06,4.006681847069319e-06,0.001,1e-08,3,50,Tanh,200
0,5,8,6.189742532809384e-05,2.3120259541459517e-05,2.1155264266777688e-05,0.001,1e-08,3,100,ReLU,200
0,5,8,6.001598074561849e-05,8.686255277880617e-06,7.1735281542219255e-06,0.001,1e-08,3,100,Tanh,200
0,5,8,3.374092197897926e-05,1.989357984176267e-05,3.882376737811002e-06,0.001,1e-08,3,150,ReLU,200
0,5,8,5.765018048434115e-05,8.473133247926368e-06,5.706514052699581e-06,0.001,1e-08,3,150,Tanh,200
0,5,8,0.0003109972221621264,0.0001902449984724012,0.0002215477385050433,0.001,1e-08,5,25,ReLU,200
